四半期,国内総生産(支出側),民間最終消費支出,家計最終消費支出,除く持ち家の帰属家賃,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,純輸出,輸出,輸入,開差,交易利得,国内総所得,純受取,受取,支払,国民総所得,国内需要,民間需要,公的需要,総固定資本形成,最終需要
7- 9.,491336 ,285949 ,280289 ,233576 ,17062 ,71962 ,(6349),96216 ,27875 ,5 ,(1203),69111 ,70314 ,(181),5460 ,496796 ,12534 ,16398 ,3864 ,509330 ,492682 ,368711 ,123998 ,116825 ,497609 
10-12.,497487 ,287747 ,282024 ,235180 ,16562 ,71283 ,(4968),96435 ,28256 ,29 ,2273 ,73982 ,71709 ,(129),3904 ,501392 ,12513 ,16107 ,3594 ,513905 ,495369 ,370778 ,124616 ,116019 ,502297 
2010/ 1- 3.,502719 ,288806 ,283024 ,236037 ,17450 ,71739 ,(3537),95608 ,28370 ,94 ,4659 ,78430 ,73771 ,(469),3464 ,506183 ,13547 ,17516 ,3969 ,519730 ,498484 ,374544 ,123951 ,117454 ,506094 
4- 6.,508667 ,290961 ,285153 ,238034 ,17577 ,72562 ,(897),97360 ,26908 ,(15),4564 ,82142 ,77579 ,(352),3308 ,511975 ,13214 ,17505 ,4291 ,525189 ,504444 ,380242 ,124203 ,116993 ,509596 
7- 9.,517919 ,295327 ,289495 ,242268 ,17766 ,73433 ,2306 ,97761 ,26617 ,(147),5364 ,84502 ,79138 ,(509),2518 ,520437 ,13997 ,18117 ,4120 ,534434 ,513034 ,388828 ,124192 ,117780 ,515866 
10-12.,513730 ,290356 ,284416 ,236951 ,18356 ,73334 ,2568 ,98272 ,26050 ,(51),5309 ,84734 ,79426 ,(463),949 ,514679 ,14277 ,18616 ,4338 ,528957 ,508851 ,384585 ,124261 ,117703 ,511308 
2011/ 1- 3.,508319 ,285586 ,279461 ,231853 ,18973 ,75032 ,1028 ,98800 ,25606 ,(45),3568 ,84061 ,80493 ,(229),(1276),507043 ,14985 ,19282 ,4296 ,522028 ,504968 ,380584 ,124378 ,119596 ,507395 
4- 6.,503868 ,287682 ,281359 ,233825 ,18614 ,73671 ,596 ,99271 ,26336 ,(5),(2532),77668 ,80200 ,236 ,(3710),500158 ,14938 ,19054 ,4116 ,515096 ,506158 ,380554 ,125597 ,118574 ,503311 
7- 9.,516139 ,292181 ,285693 ,238031 ,19393 ,75407 ,1847 ,99639 ,25550 ,49 ,2127 ,85012 ,82886 ,(52),(5003),511137 ,14876 ,19011 ,4136 ,526012 ,514088 ,388815 ,125274 ,120327 ,514265 
10-12.,515439 ,293863 ,287241 ,239414 ,19060 ,78367 ,719 ,99964 ,24704 ,(20),(1476),82666 ,84142 ,258 ,(5573),509866 ,14063 ,18216 ,4153 ,523929 ,516722 ,392013 ,124716 ,122180 ,514769 
2012/ 1- 3.,522596 ,295083 ,288363 ,240359 ,18793 ,78462 ,3440 ,100945 ,26102 ,(2),(349),85306 ,85655 ,124 ,(5728),516868 ,14003 ,18237 ,4234 ,530872 ,522917 ,395847 ,127073 ,123379 ,519111 
4- 6.,517794 ,295631 ,288783 ,240598 ,19265 ,78309 ,336 ,100710 ,26501 ,54 ,(3136),84505 ,87641 ,124 ,(5768),512026 ,14006 ,18668 ,4662 ,526032 ,520796 ,393510 ,127286 ,124073 ,517450 
7- 9.,515857 ,295518 ,288525 ,240172 ,19636 ,77715 ,1407 ,101017 ,25953 ,80 ,(5878),81514 ,87391 ,409 ,(4108),511750 ,14395 ,18518 ,4123 ,526144 ,521352 ,394258 ,127097 ,123297 ,514381 
10-12.,515486 ,296803 ,289748 ,241220 ,20084 ,77532 ,(255),101715 ,25464 ,2 ,(6403),78659 ,85062 ,544 ,(4929),510558 ,14642 ,19366 ,4724 ,525200 ,521325 ,394093 ,127234 ,123069 ,515818 
2013/ 1- 3.,522610 ,301202 ,294171 ,245487 ,20301 ,77483 ,333 ,101509 ,25837 ,(132),(4302),81234 ,85536 ,380 ,(5998),516612 ,15965 ,21122 ,5157 ,532577 ,526467 ,399262 ,127214 ,123596 ,522508 
4- 6.,527327 ,303492 ,296427 ,247573 ,20477 ,80129 ,(2390),102866 ,26813 ,42 ,(4394),83942 ,88336 ,292 ,(5452),521875 ,19818 ,25781 ,5963 ,541693 ,531370 ,401626 ,129745 ,127405 ,529776 
7- 9.,532402 ,305130 ,297996 ,248950 ,21280 ,81272 ,(481),102879 ,28265 ,(86),(6171),83873 ,90044 ,315 ,(5893),526509 ,17894 ,24644 ,6750 ,544403 ,538130 ,407128 ,131005 ,130773 ,533057 
10-12.,531743 ,304605 ,297546 ,248377 ,22032 ,81860 ,63 ,103110 ,28748 ,79 ,(9162),83504 ,92666 ,406 ,(7331),524412 ,18110 ,24467 ,6356 ,542522 ,540401 ,408483 ,131920 ,132581 ,531623 
2014/ 1- 3.,536053 ,310560 ,303722 ,254561 ,22343 ,83972 ,(2345),103419 ,28094 ,72 ,(9891),88663 ,98554 ,(170),(8664),527389 ,18013 ,25347 ,7334 ,545402 ,545960 ,414377 ,131592 ,134377 ,538465 
4- 6.,526404 ,295362 ,288859 ,239551 ,20444 ,82286 ,2513 ,103082 ,27121 ,94 ,(4617),89830 ,94447 ,121 ,(7289),519115 ,17981 ,25583 ,7602 ,537096 ,531019 ,400677 ,130340 ,129847 ,523668 
7- 9.,526854 ,297957 ,291723 ,242429 ,19412 ,82777 ,(114),103767 ,27874 ,139 ,(4854),91213 ,96067 ,(104),(7541),519313 ,19836 ,27614 ,7777 ,539149 ,531870 ,400028 ,131835 ,130067 ,526806 
10-12.,529301 ,298487 ,292250 ,242938 ,19452 ,83406 ,(1353),104021 ,28042 ,6 ,(2533),93879 ,96412 ,(227),(6480),522820 ,22413 ,30772 ,8359 ,545234 ,532019 ,399942 ,132070 ,130902 ,530740 
2015/ 1- 3.,537484 ,299933 ,293427 ,244089 ,19966 ,87606 ,50 ,105010 ,26728 ,86 ,(1829),95316 ,97145 ,(67),(1674),535810 ,20201 ,28574 ,8373 ,556011 ,539398 ,407533 ,131863 ,134306 ,537349 
4- 6.,538238 ,300257 ,293460 ,244102 ,20353 ,86417 ,2453 ,105117 ,26498 ,(74),(2949),92085 ,95033 ,166 ,(306),537931 ,21487 ,29981 ,8494 ,559418 ,541049 ,409521 ,131530 ,133268 ,535812 
7- 9.,538776 ,301127 ,294149 ,244778 ,20463 ,87598 ,967 ,105624 ,26500 ,(104),(3317),94449 ,97766 ,(82),646 ,539422 ,21118 ,30242 ,9124 ,560540 ,542147 ,410147 ,132001 ,134559 ,537941 
10-12.,537902 ,299136 ,292025 ,242628 ,20438 ,87439 ,1023 ,106494 ,27186 ,(74),(3724),93447 ,97171 ,(17),1410 ,539312 ,22062 ,31455 ,9393 ,561374 ,541624 ,408026 ,133597 ,135060 ,536970 
2016/ 1- 3.,541858 ,299269 ,292077 ,242651 ,20431 ,86923 ,1232 ,107775 ,27963 ,10 ,(1740),94160 ,95900 ,(5),5741 ,547599 ,20256 ,29451 ,9196 ,567855 ,543584 ,407842 ,135742 ,135316 ,540636 
4- 6.,541008 ,297463 ,290158 ,240710 ,21018 ,87107 ,2881 ,106820 ,27122 ,(197),(1207),93546 ,94754 ,2 ,5848 ,546856 ,19130 ,28876 ,9745 ,565986 ,542202 ,408459 ,133744 ,135246 ,538336 
7- 9.,542104 ,298677 ,291243 ,241777 ,21390 ,87453 ,150 ,107215 ,27187 ,(271),300 ,95591 ,95291 ,3 ,5478 ,547582 ,18398 ,28457 ,10059 ,565980 ,541805 ,407673 ,134132 ,136031 ,542222 
10-12.,542968 ,299407 ,291916 ,242426 ,21498 ,88120 ,(1431),107220 ,27221 ,(339),1275 ,97831 ,96557 ,(1),3902 ,546870 ,18567 ,28621 ,10055 ,565437 ,541720 ,407614 ,134106 ,136840 ,544708 
2017/ 1- 3.,547265 ,301014 ,293552 ,244034 ,21284 ,88422 ,(458),107526 ,27495 ,(290),2396 ,100036 ,97640 ,(124),1566 ,548831 ,20946 ,31389 ,10443 ,569777 ,545007 ,410273 ,134734 ,137202 ,547994 
4- 6.,549235 ,302535 ,295056 ,245513 ,21496 ,89169 ,(14),106979 ,27742 ,93 ,1297 ,100020 ,98722 ,(61),1732 ,550967 ,19761 ,30391 ,10630 ,570728 ,547979 ,413202 ,134779 ,138407 ,549168 
7- 9.,553861 ,301614 ,294068 ,244504 ,21338 ,89911 ,2368 ,107402 ,27197 ,84 ,4410 ,102444 ,98034 ,(463),2578 ,556439 ,21093 ,31461 ,10368 ,577532 ,549829 ,415174 ,134657 ,138444 ,551498 
10-12.,554590 ,302600 ,295134 ,245547 ,20701 ,90472 ,3192 ,107418 ,27295 ,88 ,3064 ,103898 ,100834 ,(239),356 ,554946 ,20451 ,31454 ,11003 ,575397 ,551666 ,416890 ,134778 ,138462 ,551414 
2018/ 1- 3.,554953 ,302210 ,294981 ,245372 ,20156 ,91364 ,1535 ,108254 ,27604 ,63 ,4006 ,105336 ,101330 ,(239),(524),554429 ,19948 ,31880 ,11932 ,574376 ,551111 ,415209 ,135903 ,139107 ,553418 
4- 6.,556790 ,302608 ,295724 ,246091 ,19558 ,92729 ,1693 ,108111 ,27833 ,(45),4585 ,106269 ,101684 ,(283),(1907),554883 ,21624 ,33404 ,11780 ,576507 ,552404 ,416526 ,135879 ,140090 ,555199 
7- 9.,553904 ,302886 ,296287 ,246631 ,19643 ,90063 ,2085 ,108257 ,27654 ,(16),3591 ,104698 ,101107 ,(259),(3779),550125 ,21304 ,33252 ,11948 ,571429 ,550500 ,414626 ,135876 ,137339 ,551886 
10-12.,553269 ,302522 ,295931 ,246253 ,19954 ,92013 ,3258 ,109026 ,27286 ,(53),(668),105401 ,106068 ,(70),(4830),548440 ,21965 ,34251 ,12286 ,570405 ,553916 ,417684 ,136233 ,139223 ,550128 
2019/ 1- 3.,554257 ,301585 ,294724 ,245028 ,20457 ,91937 ,1546 ,109429 ,27962 ,(168),1634 ,103615 ,101982 ,(124),(1619),552638 ,21572 ,33528 ,11956 ,574209 ,552660 ,415481 ,137181 ,140341 ,552965 
4- 6.,556260 ,302013 ,294923 ,245205 ,20762 ,91486 ,3230 ,110029 ,28195 ,(27),704 ,104148 ,103444 ,(132),(2432),553827 ,21978 ,34270 ,12292 ,575805 ,555625 ,417449 ,138178 ,140440 ,553116 
7- 9.,557376 ,304840 ,297631 ,247879 ,20922 ,93432 ,181 ,111047 ,28119 ,(42),(998),104588 ,105586 ,(125),(2160),555216 ,21987 ,34815 ,12828 ,577203 ,558433 ,419341 ,139093 ,142459 ,557302 
10-12.,542279 ,294704 ,287273 ,237559 ,20480 ,86800 ,1262 ,111396 ,28097 ,11 ,(337),103246 ,103583 ,(135),(1867),540412 ,20824 ,33175 ,12351 ,561236 ,542701 ,403223 ,139478 ,135405 ,541062 
2020/ 1- 3.,544260 ,296546 ,288787 ,239047 ,19453 ,90874 ,(1354),111539 ,28087 ,12 ,(956),98418 ,99373 ,59 ,(985),543275 ,21715 ,33160 ,11445 ,564990 ,545120 ,405512 ,139608 ,138385 ,545613 
4- 6.,501289 ,271528 ,263309 ,213728 ,19537 ,84498 ,1125 ,111588 ,29253 ,(88),(17312),81358 ,98670 ,1161 ,5091 ,506380 ,17939 ,28498 ,10559 ,524320 ,517409 ,376675 ,140735 ,133346 ,500321 
7- 9.,529326 ,286440 ,277797 ,228100 ,18587 ,84322 ,(1589),114169 ,29245 ,(14),(2088),89370 ,91457 ,256 ,4264 ,533590 ,18368 ,29000 ,10632 ,551958 ,531152 ,387774 ,143381 ,132195 ,530925 
10-12.,539592 ,292225 ,283492 ,233735 ,18538 ,85658 ,(2238),115112 ,29714 ,(177),849 ,97874 ,97026 ,(89),4128 ,543720 ,19813 ,29304 ,9491 ,563533 ,538829 ,394215 ,144619 ,133947 ,541998 
2021/ 1- 3.,538104 ,286918 ,278427 ,228689 ,18805 ,86964 ,(509),114992 ,29648 ,(112),1687 ,100534 ,98847 ,(288),601 ,538705 ,22082 ,32867 ,10785 ,560787 ,536626 ,392132 ,144503 ,135442 ,538797 
4- 6.,540503 ,287425 ,279213 ,229445 ,19100 ,88166 ,(430),117164 ,29076 ,(94),212 ,103661 ,103449 ,(116),(1289),539214 ,27445 ,38705 ,11261 ,566659 ,540298 ,394224 ,146088 ,136347 ,541085 
7- 9.,538355 ,284322 ,276262 ,226498 ,18775 ,86641 ,934 ,118659 ,28153 ,(69),1362 ,103215 ,101853 ,(421),(5291),533065 ,26364 ,37883 ,11519 ,559428 ,537184 ,390567 ,146640 ,133562 ,537612 
10-12.,545019 ,293130 ,285122 ,235263 ,18537 ,87142 ,560 ,117350 ,27296 ,(57),1517 ,103746 ,102229 ,(456),(9461),535558 ,27818 ,40073 ,12255 ,563376 ,543735 ,399270 ,144465 ,132933 ,544604 
2022/ 1- 3.,541292 ,289846 ,281803 ,231952 ,18209 ,86923 ,3425 ,118148 ,26272 ,(59),(963),105025 ,105988 ,(508),(11255),530036 ,31320 ,43471 ,12152 ,561356 ,542503 ,398332 ,144168 ,131321 ,537931 
4- 6.,548750 ,294730 ,286662 ,236743 ,17884 ,88799 ,2983 ,118945 ,26454 ,(80),(401),106601 ,107002 ,(564),(15084),533666 ,31546 ,44927 ,13381 ,565212 ,549388 ,404261 ,145116 ,133000 ,545862 
7- 9.,546741 ,294919 ,286865 ,236927 ,17794 ,90149 ,2904 ,118976 ,26699 ,(255),(3774),109221 ,112996 ,(671),(19039),527702 ,33686 ,48048 ,14362 ,561388 ,550813 ,405616 ,145184 ,134476 ,544145 
10-12.,547307 ,295556 ,287485 ,237522 ,17814 ,89625 ,717 ,119189 ,26703 ,(35),(1501),111447 ,112949 ,(762),(17904),529403 ,37324 ,53037 ,15713 ,566727 ,549202 ,403526 ,145669 ,133988 ,546677 
2023/ 1- 3.,551001 ,297091 ,288972 ,238964 ,17803 ,90861 ,2658 ,119328 ,27112 ,(80),(3647),106714 ,110361 ,(126),(14683),536318 ,30665 ,49019 ,18354 ,566983 ,554602 ,408406 ,146170 ,135599 ,548233 
＊年率で表示している。,,,,,,,,,,,,,,,,,,,,,,,,,
＊開差＝国内総生産(支出側)－国内総生産(支出側)の内訳項目計,,,,,,,,,,,,,,,,,,,,,,,,,
＊財貨・サービスの純輸出は連鎖方式での計算ができないため、財貨・サービスの輸出－財貨・サービスの輸入により求めている。このため寄与度とは符号が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,
