四半期,国内総生産(支出側),民間最終消費支出,家計最終消費支出,除く持ち家の帰属家賃,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,純輸出,輸出,輸入,純受取,受取,支払,国民総所得,国内需要,民間需要,公的需要,総固定資本形成,最終需要
10-12.,527853 ,286596 ,280360 ,238139 ,24526 ,83358 ,(3515),85918 ,43681 ,(337),7626 ,52770 ,45144 ,7073 ,10816 ,3743 ,534926 ,520227 ,390965 ,129262 ,151566 ,531706 
2000/ 1- 3.,535188 ,287843 ,281880 ,239434 ,24883 ,86692 ,(1607),87358 ,41478 ,152 ,8390 ,54639 ,46249 ,6767 ,11221 ,4454 ,541955 ,526798 ,397811 ,128988 ,153053 ,536643 
4- 6.,535350 ,286343 ,280739 ,238058 ,25384 ,84799 ,1202 ,88274 ,41058 ,39 ,8250 ,55494 ,47244 ,8178 ,12027 ,3849 ,543528 ,527099 ,397728 ,129371 ,151241 ,534108 
7- 9.,534440 ,286343 ,280995 ,238124 ,24993 ,87439 ,(1154),89286 ,40311 ,(35),7256 ,56545 ,49289 ,8126 ,12106 ,3979 ,542566 ,527184 ,397622 ,129562 ,152744 ,535629 
10-12.,537844 ,288791 ,283488 ,240376 ,25376 ,89570 ,161 ,89543 ,38840 ,(68),5632 ,57597 ,51965 ,8082 ,12471 ,4389 ,545926 ,532212 ,403898 ,128314 ,153786 ,537752 
2001/ 1- 3.,542540 ,290560 ,285101 ,241870 ,25325 ,89306 ,1980 ,91121 ,40555 ,24 ,3669 ,56140 ,52471 ,8386 ,12852 ,4466 ,550926 ,538871 ,407171 ,131700 ,155186 ,540536 
4- 6.,534251 ,290636 ,284969 ,241412 ,23880 ,86292 ,2236 ,91173 ,38105 ,(175),2104 ,53952 ,51849 ,8151 ,12379 ,4228 ,542403 ,532148 ,403044 ,129104 ,148277 ,532190 
7- 9.,527028 ,289493 ,283707 ,239949 ,23568 ,84252 ,(2098),91675 ,37781 ,(211),2567 ,52389 ,49823 ,8027 ,12024 ,3997 ,535054 ,524461 ,395215 ,129246 ,145602 ,529337 
10-12.,523929 ,287345 ,281561 ,237607 ,23602 ,80423 ,(996),92347 ,36751 ,(31),4489 ,51979 ,47490 ,8479 ,11973 ,3494 ,532408 ,519440 ,390373 ,129067 ,140776 ,524956 
2002/ 1- 3.,525445 ,288360 ,282706 ,238619 ,23314 ,79518 ,(3282),94541 ,37080 ,(91),6006 ,54787 ,48780 ,8285 ,11461 ,3177 ,533730 ,519439 ,387909 ,131529 ,139911 ,528818 
4- 6.,524236 ,289683 ,284229 ,240118 ,23274 ,77841 ,(2482),92491 ,35926 ,(26),7529 ,57278 ,49749 ,7454 ,10780 ,3326 ,531690 ,516707 ,388316 ,128391 ,137042 ,526744 
7- 9.,524200 ,289360 ,284051 ,239803 ,23237 ,78635 ,(1521),93021 ,35674 ,(50),5844 ,55947 ,50103 ,7594 ,11061 ,3467 ,531794 ,518356 ,389711 ,128645 ,137546 ,525771 
10-12.,524426 ,287918 ,282604 ,238236 ,22894 ,78431 ,319 ,92770 ,35100 ,(157),7152 ,59594 ,52442 ,7208 ,10584 ,3376 ,531634 ,517274 ,389561 ,127713 ,136424 ,524264 
2003/ 1- 3.,521346 ,288485 ,283016 ,238502 ,22769 ,78088 ,(353),92642 ,33995 ,(68),5786 ,58663 ,52878 ,7801 ,10986 ,3184 ,529147 ,515560 ,388990 ,126570 ,134853 ,521766 
4- 6.,524524 ,286799 ,281141 ,236439 ,22840 ,78713 ,(784),94409 ,33999 ,71 ,8478 ,58916 ,50438 ,8032 ,11000 ,2968 ,532556 ,516047 ,387568 ,128479 ,135551 ,525237 
7- 9.,524388 ,286295 ,280518 ,235619 ,23402 ,77186 ,1673 ,93876 ,33107 ,(86),8935 ,60550 ,51615 ,9531 ,12392 ,2861 ,533919 ,515453 ,388557 ,126897 ,133696 ,522801 
10-12.,526398 ,289343 ,283527 ,238516 ,23007 ,79971 ,(879),92644 ,32320 ,(316),10309 ,61935 ,51627 ,8474 ,11202 ,2728 ,534873 ,516090 ,391441 ,124649 ,135298 ,527594 
2004/ 1- 3.,529391 ,289386 ,283619 ,238307 ,23335 ,79464 ,2772 ,93253 ,30911 ,(326),10598 ,64858 ,54261 ,9488 ,12197 ,2709 ,538880 ,518794 ,394956 ,123838 ,133710 ,526946 
4- 6.,527653 ,289024 ,283330 ,237813 ,23767 ,79091 ,768 ,93501 ,30710 ,97 ,10694 ,67353 ,56659 ,10202 ,13112 ,2910 ,537855 ,516960 ,392651 ,124309 ,133568 ,526788 
7- 9.,530510 ,290780 ,285121 ,239413 ,23866 ,79950 ,1875 ,93855 ,30200 ,89 ,9895 ,68726 ,58831 ,10478 ,13615 ,3137 ,540988 ,520615 ,396471 ,124144 ,134016 ,528547 
10-12.,529896 ,289444 ,283769 ,237844 ,23908 ,81412 ,1503 ,94387 ,29918 ,187 ,9137 ,69554 ,60417 ,10923 ,14238 ,3315 ,540819 ,520758 ,396267 ,124492 ,135238 ,528206 
2005/ 1- 3.,529873 ,290100 ,284371 ,238236 ,23518 ,83434 ,1339 ,94140 ,29288 ,161 ,7893 ,68308 ,60415 ,10424 ,14358 ,3934 ,540297 ,521980 ,398391 ,123589 ,136241 ,528373 
4- 6.,531368 ,290968 ,285161 ,238815 ,23396 ,86358 ,1112 ,94414 ,27517 ,(3),7605 ,71575 ,63970 ,11661 ,15806 ,4146 ,543028 ,523762 ,401834 ,121929 ,137271 ,530258 
7- 9.,534639 ,293078 ,287205 ,240629 ,23867 ,88052 ,712 ,94459 ,28070 ,25 ,6377 ,74520 ,68143 ,12357 ,16545 ,4188 ,546996 ,528262 ,405709 ,122553 ,139989 ,533903 
10-12.,534664 ,293223 ,287308 ,240439 ,24212 ,86856 ,108 ,94744 ,27565 ,39 ,7917 ,79524 ,71607 ,13263 ,18002 ,4740 ,547927 ,526747 ,404399 ,122348 ,138633 ,534517 
2006/ 1- 3.,534474 ,295035 ,289106 ,242059 ,24039 ,86659 ,(198),94269 ,28465 ,28 ,6177 ,81043 ,74866 ,14011 ,19171 ,5160 ,548485 ,528297 ,405536 ,122761 ,139163 ,534645 
4- 6.,534118 ,294205 ,288236 ,240994 ,24102 ,88077 ,(218),94286 ,27410 ,(39),6294 ,82096 ,75802 ,13879 ,19413 ,5534 ,547997 ,527823 ,406166 ,121658 ,139589 ,534374 
7- 9.,532337 ,292482 ,286464 ,239093 ,24266 ,88167 ,601 ,94095 ,26049 ,23 ,6654 ,85036 ,78381 ,14500 ,20181 ,5681 ,546837 ,525683 ,405516 ,120167 ,138481 ,531712 
10-12.,539711 ,296209 ,290188 ,242636 ,24328 ,89802 ,669 ,93938 ,26415 ,(32),8382 ,86697 ,78315 ,15328 ,21638 ,6310 ,555039 ,531329 ,411008 ,120321 ,140545 ,539073 
2007/ 1- 3.,541878 ,295601 ,289627 ,241838 ,24122 ,89957 ,2406 ,94045 ,26353 ,(56),9449 ,89802 ,80353 ,16364 ,23077 ,6713 ,558242 ,532430 ,412087 ,120343 ,140433 ,539528 
4- 6.,542303 ,297217 ,291293 ,243316 ,23845 ,89123 ,1044 ,95366 ,25802 ,138 ,9767 ,93542 ,83774 ,17110 ,23375 ,6265 ,559412 ,532535 ,411229 ,121306 ,138770 ,541120 
7- 9.,536589 ,294205 ,288317 ,240131 ,21916 ,87922 ,1397 ,94810 ,25503 ,43 ,10795 ,94350 ,83556 ,15353 ,23395 ,8043 ,551941 ,525794 ,405439 ,120355 ,135340 ,535149 
10-12.,536476 ,295864 ,290004 ,241634 ,19570 ,87929 ,2938 ,96011 ,26188 ,64 ,7912 ,95224 ,87312 ,17169 ,24276 ,7107 ,553645 ,528564 ,406300 ,122263 ,133687 ,533474 
